front,back
Albania,Tirana
Andorra,Andorra la Vella
Austria,Vienna
Belarus,Minsk
Belgium,Brussels
Bosnia and Herzegovina,Sarajevo
Bulgaria,Sofia
Croatia,Zagreb
Czech Republic,Prague
Denmark,Copenhagen
Estonia,Tallinn
Finland,Helsinki
France,Paris
Germany,Berlin
Greece,Athens
Hungary,Budapest
Iceland,Reykjavik
Ireland,Dublin
Italy,Rome
Kosovo,Pristina
Latvia,Riga
Liechtenstein,Vaduz
Lithuania,Vilnius
Luxembourg,Luxembourg
Macedonia,Skopje
Malta,Valletta
Moldova,Chisinau
Monaco,Monaco
Montenegro,Podgorica
Netherlands,Amsterdam
Norway,Oslo
Poland,Warsaw
Portugal,Lisbon
Romania,Bucharest
San Marino,San Marino
Serbia,Belgrade
Slovakia,Bratislava
Slovenia,Ljubljana
Spain,Madrid
Sweden,Stockholm
Switzerland,Berne
Ukraine,Kiev
United Kingdom,London
Vatican City,Vatican City
