front,back
California,Sacramento
New York,Albany
Nevada,Carson City
Idaho,Boise
Washington,Olympia
Oregon,Salem
Alaska,Juneau
Maine,Augusta
Florida,Tallahassee
South Carolina,Columbia
North Carolina,Raleigh
New Jersey,Trenton
Maryland,Annapolis
Connecticut,Hartford
North Dakota,Bismarck
South Dakota,Pierre
Colorado,Denver
Utah,Salt Lake City
New Mexico,Santa Fe
Montana,Helena
Michigan,Lansing
Illinois,Springfield
Indiana,Indianapolis
Hawaii,Honolulu
Nebraska,Lincoln
Texas,Austin
Vermont,Montpelier
Delaware,Dover
Virginia,Richmond
Arkansas,Little Rock
Alabama,Montgomery
Arizona,Phoenix
Pennsylvania,Harrisburg
West Virginia,Charleston
Georgia,Atlanta
New Hampshire,Concord
Rhode Island,Providence
Massachusets,Boston
Wyoming,Cheyenne
Iowa,Des Moines
Oklahoma,Oklahoma City
Louisiana,Baton Rouge
Kentucky,Frankfort
Missouri,Jefferson City
Minnesota,Saint Paul
Ohio,Columbus
Wisconsin,Madison
Mississippi,Jackson
Kansas,Topeka
Tennessee,Nashville
